SparkleIndex,SparkleTerm
506,Transverse Vaginal Septum
508,Transradial Catheterization
509,Transradial Coronary Angioplasty
510,Transrectal Drainage Of Pelvic Abscess
511,Transscleral Cyclophotocoagulation
512,Transthoracic Discectomy
514,Transurethral Resection Of Bladder
515,Transoral Robotic Surgery Tors
516,Transoral Thyroidectomy
517,Transpetrosal Approaches
518,Transplant Related Infection
520,Transposition Of The Great Arteries Tga
521,Transpsoas Approach
522,Transluminal Balloon Angioplasty In Neurosurgery
523,Transmetatarsal Amputation Tma Surgery
525,Transnasal Repair Csf Leak
527,Transoral Robotic Surgery For Obstructive Sleep Apnea
528,Transient Limb Paralysis
529,Transient Monocular Vision Loss
530,Transient Tachypnea Of The Newborn
531,Transition Of Youth With Special Care Needs
534,Transitional Urology
535,Transgender Care
536,Transgender Hormone Replacement Therapy
539,Transient Erythroblastopenia Of Childhood
540,Transient Ischaemic Attack Tia
541,Transcarotid Artery Revascularization
542,Transcatheter Aortic Valve Replacement Tavr
544,Transcatheter Tricuspid Valve Repair
545,Transconjunctival Blepharoplasty
548,Tracheostomy Revision
553,Transanal Resection Surgery
554,Tracheocutaneous Fistula
559,Tracheostomy Management
563,Tracheal Stent Placement
564,Tracheal Stomal Stenosis
567,Tracheal Compression
568,Tracheal Dilatation
570,Tracheal Mass
571,Tracheal Reconstruction
580,Toxic Liver Injury
584,Total Parenteral Nutrition Tpn
585,Total Shoulder Replacement Revision Surgery
586,Total Shoulder Replacement Surgery
588,Toxic Cataract
590,Total Hip Replacement Age Less Than 50
591,Total Hip Revision
593,Total Knee Replacement Age Greater Than 50
594,Total Knee Replacement Age Less Than 50
595,Total Knee Revision
597,Total Anomalous Pulmonary Venous Return Tapvr
599,Total Endoscopic Coronary Artery Bypass Grafting
601,Total Hip Replacement Age Greater Than 50
604,Toric Intraocular Lens Implant
605,Toric Lenses
607,Torsion Of Appendix Of Testis
613,Top Surgery
615,Tongue Sores
621,Tongue Base Reduction Surgery
623,Tongue Clip
627,Toe Tendon Lengthening
628,Toe Tendon Transfer
629,Toenail Injury
630,Toilet Training Issues
634,Toe Fungus
636,Toe Instability
638,Tmem127 Gene
640,Tobacco Smoking Counseling
643,Tobacco-Related Diseases
650,Tissue Expansion Surgery
657,Tibialis Anterior Transfer
658,Tibialis Posterior Transfer
664,Tibial Pseudarthrosis
666,Tibial Tendonitis
668,Tibial Tubercle Osteotomy
673,Thyrotoxic Exophthalmos
678,Thyroid Function Blood Panel
680,Thyroid Hormone Therapy
684,Thymus Surgery
685,Thyroglossal Duct Disorders
686,Thyroglossal Duct Excision
688,Thyroid Cancer Genomics
690,Thumb Strain
695,Thrower Elbow
696,Throwing Injury
697,Thumb Aplasia
705,Thrombotic Disorders
707,Throat Mass
710,Thrombectomy Of Cranial Vessels
715,Three Column Osteotomy
716,Three Dimensional Conformal Radiation Therapy
717,Throat Abscess
718,Throat Abscess Drainage
720,Thoracoscopic Pectus Deformities Repair
721,Thoracoscopic Pleurodesis
722,Thoracoscopic Tumor Resection
726,Thoracodorsal Artery Perforator Flap
728,Thoracoscopic Debridement
729,Thoracoscopic Esophageal Atresia Repair
730,Thoracoscopic Excision Of Mediastinal Mass
731,Thoracoscopic Lobectomy
732,Thoracoscopic Lung Resection
734,Thoracic Spine Fusion
736,Thoracic Spine Mass
737,Thoracic Spine Tumor
738,Thoracoabdominal Aneurysm
739,Thoracoamniotic Shunting
740,Thoracic Laminectomy
741,Thoracic Malignancy
742,Thoracic Outlet Decompression
744,Thoracic Spinal Stenosis
745,Thoracic Spine Epidural Steroid Injection
746,Thoracic Aorta Pta
751,Thoracic Herniated Disc
752,Thigh Lift Surgery
756,Thoracic Aneurysm Dissection
757,Thoracic Aneurysm Repair
758,Thoracic Aorta Angiogram
765,Tetanus Diphtheria And Pertussis Vaccine
767,Tetracycline Prescribing
768,Tetralogy Of Fallot Repair
769,Tetralogy Of Fallot Tof
771,Testicular Torsion Repair
773,Testosterone Deficiency
774,Testosterone Replacement Therapy
776,Tetanus And Diphtheria Vaccine
782,Testicular Prosthesis Placement
787,Testicular Cancer Chemotherapy
788,Testicular Cancer Surgery
791,Teratogen Exposure
793,Teratoma Of Ovary
794,Teratoma With Malignant Transformation
799,Tens Therapy
802,Tendon Pulley Reconstruction
803,Tendon Repair Surgery
805,Tendonitis Of Multiple Tendons
807,Tennis Elbow Surgery
808,Temporomandibular Joint Surgery
810,Tenderness To Touch
811,Tendinitis Of The Elbow
815,Temporal Tumor
816,Temporalis Muscle Transfers
819,Temporomandibular Joint Replacement
822,Temper Tantrum Prevention
823,Temporal Bone Cancer
825,Temporal Brow Lift
827,Tear Osmolarity Test
838,Tachycardia Induced Cardiomyopathy
839,Taiga Encephalitis
849,Tachycardia Bradycardia Syndrome
850,Synovectomy Of Elbow
851,Synovectomy Of Knee
860,Syndesmosis Sprain
861,Syngeneic Transplant
862,Swollen Parotid
864,Swooshing Sound In Ears
866,SydenhamChorea
873,Swollen Feet Or Ankles
875,Surrogacy
877,Swallow Therapy
878,Swallow Xray
879,Swallowing Evaluation
881,Swan Neck Deformity
882,Surgical Sterilization
883,Surgical Treatment Of Crohns Disease
884,Surgical Treatment Of Myelopathy
885,Surgical Treatment Of Ulcerative Colitis
887,Surgically Correctable Birth Defects
888,Surgical Abortion First Trimester
889,Surgical Abortion Second Trimester
890,Surgical Abortion Third Trimester
891,Surgical Management Of Advanced Hepato Biliary Cancer
892,Surgical Management Of Advanced Pancreatic Cancer
894,Surgery For Arthritis
895,Surgery For De Quervain Tenosynovitis
896,Surgery For Hidradenitis Suppurativa
897,Surgery For Sciatica
898,Surgery For Spasticity
899,Surgical Ablation Of Atrial Fibrillation
901,Supraorbital Nerve Block
903,Supratentorial Primitive Neuroectodermal Tumor
906,Superior Mesenteric Artery Stenosis
907,Superior Mesenteric Artery Stenting
908,Supernumerary Marker Chromosome
910,Supprelin Implant
911,Suppurative Tonsillitis
914,Superficial Venous Reflux
915,Superior Canal Dehiscence
916,Superior Capsular Reconstruction
917,Superior Gluteal Artery Perforator Flap
918,Superior Mesenteric Artery Bypass
920,Sunct Headache
922,Superficial Inferior Epigastric Artery Flap
923,Superficial Injury Of Cornea
926,Sudden Pain
930,Suna Headache
932,Substernal Thyroid Mass
933,Subtalar Dislocation
937,Submucosal Tumors
938,Suboxone Treatment
939,Subpectoral Placement
941,Subpial Transection
945,Submandibular Gland Cancer
946,Submandibular Nodule
947,Submandibular Swelling
948,Submicroscopic Deletion
949,Submicroscopic Duplication
950,Subchondroplasty
952,Subclavian Stenosis
954,Subdural Hematoma Embolization
957,Stylohyoid Syndrome
959,Subacute Cutaneous Lupus
962,Subcaudate Tractotomy
965,Stroke Related Spasticity
966,Stromal Tumor Of Intestine
969,Stress Therapy
970,Stretching Of Prepuce
973,Stricture Of Artery
974,Strictures Of Upper Urinary Tract
977,Stress Echo Cardiogram
978,Stress Fracture Of The Radius
981,Stress Management Issues
982,Stomatitis Monilial
983,Stool Changes
986,Straining On Urination
991,Stomach Tumor Surgery
992,Stomal Hernia
994,Stoma Reversal
997,Stomach Cancer Genomics
1000,Sternal Wound Flap
1004,Stiffness After A Total Knee Replacement
1005,Stills Disease
1006,Stereotactic Cranial Radiation
1007,Stereotactic Eeg
1009,Stereotactic Spine Radiosurgery
1011,Sternal Clavicular Joint Dislocation
1013,Stenosis Of Nasolacrimal Duct
1014,Stenosis Vascular Graft
1015,Stenotic Valve Diseases
1018,Stereotactic Brain Biopsy
1019,Stem Cell Transplant For Hematological Malignancy
1020,Stem Cell Transplant For Lymphoma
1021,Stem Cell Transplant For Myelodysplastic Syndrome
1022,Stem Cell Transplant For Sickle Cell Disease
1023,Stem Cell Treatment For Joint Disease
1024,Stenosis Of Lacrimal Sac
1025,Steatotic Liver Disease
1026,Stellate Ganglion Blocks
1028,Stem Cell Injection
1030,Stem Cell Transplant For Aplastic Anemia
1035,Standard Transsphenoidal Approach
1039,Staphylococcus Infections
1043,Squamous Cell Carcinoma Of The Temporal Bone
1044,Squamous Cell Carcinoma Of The Throat
1045,Squamous Cell Carcinoma Of The Tongue
